,Kingdom,Phylum,Class,Order,Family,Genus,Species,COMMENT.on.genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont,Decay_type,Fruitbody_type,OTU_ID
OTU2683,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2683
OTU2690,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2690
OTU2694,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,,,dung_saprotroph,,,,,dung,,partly_freshwater_(partly_non-aquatic),,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)",OTU2694
OTU2706,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,,,unspecified_saprotroph,foliar_endophyte,hypervariable,foliar_endophyte,,"leaf/fruit/seed,soil,dung,animal_material",,partly_aquatic,animal-associated/opportunistic_human_parasite,,yeast,,,,,,,,,OTU2706
OTU2707,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2707
OTU2712,Fungi,Rozellomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2712
OTU2714,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Galerina,Galerina marginata,,wood_saprotroph,litter_saprotroph,,,leaf/fruit/seed_pathogen,"wood,leaf/fruit/seed",,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU2714
OTU2717,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2717
OTU2721,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2721
OTU2729,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2729
OTU2730,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/russula-lactarius,,,,agaricoid,OTU2730
OTU2737,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,,,soil_saprotroph,epiphyte,,,,soil,,partly_aquatic,,,yeast,none,none,,,,,,none,OTU2737
OTU2744,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2744
OTU2746,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Pycnopeziza,,,litter_saprotroph,plant_pathogen,plant_pathogen_weak,,leaf/fruit/seed_pathogen,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface),OTU2746
OTU2767,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/russula-lactarius,,,,agaricoid,OTU2767
OTU2768,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2768
OTU2769,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2769
